DateString,SampleDate,Standard,YearValue,SampleWeek,75_95_TaxaID,Density,TotalBiovolume,NumberStations,Division
19750415,15-Apr-75,yes,1975,16,145,7.0,7000.0,1,Chlorophyta
19750415,15-Apr-75,yes,1975,16,207,35.0,28000.0,1,Chrysophyta
19750415,15-Apr-75,yes,1975,16,301,268.0,187600.0,1,Bacillariophyta
19750415,15-Apr-75,yes,1975,16,304,4247.0,721990.0,1,Bacillariophyta
19750415,15-Apr-75,yes,1975,16,308,3.0,1560.0,1,Bacillariophyta
19750415,15-Apr-75,yes,1975,16,310,3.0,3000.0,1,Bacillariophyta
19750415,15-Apr-75,yes,1975,16,313,73.0,36500.0,1,Bacillariophyta
19750415,15-Apr-75,yes,1975,16,320,828.0,1656000.0,1,Bacillariophyta
19750415,15-Apr-75,yes,1975,16,331,3.0,6600.0,1,Bacillariophyta
19750415,15-Apr-75,yes,1975,16,601,486.0,97200.0,1,Cryptophyta
19750415,15-Apr-75,yes,1975,16,602,17.0,42500.0,1,Cryptophyta
19750415,15-Apr-75,yes,1975,16,704,139.0,15012.0,1,Cyanophyta
19750422,22-Apr-75,yes,1975,17,145,21.0,21000.0,1,Chlorophyta
19750422,22-Apr-75,yes,1975,17,201,28.0,1400.0,1,Chrysophyta
19750422,22-Apr-75,yes,1975,17,202,111.0,5550.0,1,Chrysophyta
19750422,22-Apr-75,yes,1975,17,207,70.0,56000.0,1,Chrysophyta
19750422,22-Apr-75,yes,1975,17,210,28.0,4200.0,1,Chrysophyta
19750422,22-Apr-75,yes,1975,17,212,83.0,166000.0,1,Chrysophyta
19750422,22-Apr-75,yes,1975,17,301,833.0,583100.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,304,12825.0,2180250.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,308,21.0,10920.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,312,77.0,38500.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,313,745.0,372500.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,318,7.0,11200.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,320,2652.0,5304000.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,328,7.0,35000.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,331,42.0,92400.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,335,7.0,2800.0,1,Bacillariophyta
19750422,22-Apr-75,yes,1975,17,601,444.0,88800.0,1,Cryptophyta
19750422,22-Apr-75,yes,1975,17,602,28.0,70000.0,1,Cryptophyta
19750506,06-May-75,yes,1975,19,107,7.0,1036.0,4,Chlorophyta
19750506,06-May-75,yes,1975,19,149,7.0,7700.0,4,Chlorophyta
19750506,06-May-75,yes,1975,19,202,135.5,6775.0,4,Chrysophyta
19750506,06-May-75,yes,1975,19,207,14.8,11800.0,4,Chrysophyta
19750506,06-May-75,yes,1975,19,210,45.0,6750.0,4,Chrysophyta
19750506,06-May-75,yes,1975,19,212,4.3,8500.0,4,Chrysophyta
19750506,06-May-75,yes,1975,19,301,12.3,8575.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,304,66.0,11220.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,309,0.8,750.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,311,34.0,34000.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,312,38.3,19125.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,313,37.5,18750.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,320,1670.3,3340500.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,331,8.6,18975.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,335,7.5,3000.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,336,0.8,720.0,4,Bacillariophyta
19750506,06-May-75,yes,1975,19,601,635.0,127000.0,4,Cryptophyta
19750506,06-May-75,yes,1975,19,602,22.3,55625.0,4,Cryptophyta
19750513,13-May-75,yes,1975,20,103,1.4,42.0,5,Chlorophyta
19750513,13-May-75,yes,1975,20,107,7.0,1036.0,5,Chlorophyta
19750513,13-May-75,yes,1975,20,128,2.8,11200.0,5,Chlorophyta
19750513,13-May-75,yes,1975,20,129,0.6,208.2,5,Chlorophyta
19750513,13-May-75,yes,1975,20,145,0.8,800.0,5,Chlorophyta
19750513,13-May-75,yes,1975,20,202,44.6,2230.0,5,Chrysophyta
