Datestring,Sample_date,Station,75_95_TaxaID,Density,TotalBiovolume,Year,SamplingWeek,StandardSample
19750528,5/28/1975,Three Mile Bay,133,35,2450,1975,22,yes
19750528,5/28/1975,Buoy 109,145,7,7000,1975,22,yes
19750528,5/28/1975,Buoy 117,145,3,3000,1975,22,yes
19750528,5/28/1975,Buoy 125,145,14,14000,1975,22,yes
19750528,5/28/1975,Three Mile Bay,145,10,10000,1975,22,yes
19750528,5/28/1975,Three Mile Bay,148,139,20850,1975,22,yes
19750528,5/28/1975,Buoy 109,202,14,700,1975,22,yes
19750528,5/28/1975,Buoy 117,202,14,700,1975,22,yes
19750528,5/28/1975,Buoy 125,202,42,2100,1975,22,yes
19750528,5/28/1975,Shackelton Point,202,14,700,1975,22,yes
19750528,5/28/1975,Buoy 109,210,14,2100,1975,22,yes
19750528,5/28/1975,Buoy 125,210,14,2100,1975,22,yes
19750528,5/28/1975,Shackelton Point,210,14,2100,1975,22,yes
19750528,5/28/1975,Three Mile Bay,301,4,2800,1975,22,yes
19750528,5/28/1975,Buoy 117,304,14,2380,1975,22,yes
19750528,5/28/1975,Buoy 125,304,14,2380,1975,22,yes
19750528,5/28/1975,Shackelton Point,310,10,10000,1975,22,yes
19750528,5/28/1975,Buoy 109,320,7,14000,1975,22,yes
19750528,5/28/1975,Three Mile Bay,320,17,34000,1975,22,yes
19750528,5/28/1975,Buoy 109,331,7,15400,1975,22,yes
19750528,5/28/1975,Three Mile Bay,331,7,15400,1975,22,yes
19750528,5/28/1975,Buoy 109,335,10,4000,1975,22,yes
19750528,5/28/1975,Buoy 117,335,17,6800,1975,22,yes
19750528,5/28/1975,Buoy 125,335,14,5600,1975,22,yes
19750528,5/28/1975,Shackelton Point,335,7,2800,1975,22,yes
19750528,5/28/1975,Three Mile Bay,335,7,2800,1975,22,yes
19750528,5/28/1975,Buoy 125,401,7,14000,1975,22,yes
19750528,5/28/1975,Buoy 109,601,194,38800,1975,22,yes
19750528,5/28/1975,Buoy 117,601,208,41600,1975,22,yes
19750528,5/28/1975,Buoy 125,601,28,5600,1975,22,yes
19750528,5/28/1975,Shackelton Point,601,180,36000,1975,22,yes
19750528,5/28/1975,Three Mile Bay,601,83,16600,1975,22,yes
19750528,5/28/1975,Buoy 109,602,258,645000,1975,22,yes
19750528,5/28/1975,Buoy 117,602,73,182500,1975,22,yes
19750528,5/28/1975,Buoy 125,602,24,60000,1975,22,yes
19750528,5/28/1975,Shackelton Point,602,122,305000,1975,22,yes
19750528,5/28/1975,Three Mile Bay,602,97,242500,1975,22,yes
19750602,6/2/1975,Shackelton Point,103,70,2100,1975,23,no
19750602,6/2/1975,Shackelton Point,107,56,8288,1975,23,no
19750602,6/2/1975,Shackelton Point,207,3,2400,1975,23,no
19750602,6/2/1975,Shackelton Point,335,14,5600,1975,23,no
19750602,6/2/1975,Shackelton Point,601,264,52800,1975,23,no
19750602,6/2/1975,Shackelton Point,602,184,460000,1975,23,no
19750602,6/2/1975,Shackelton Point,710,3,600,1975,23,no
19750604,6/4/1975,Buoy 117,103,59,1770,1975,23,yes
19750604,6/4/1975,Buoy 125,103,28,840,1975,23,yes
19750604,6/4/1975,Shackelton Point,103,42,1260,1975,23,yes
19750604,6/4/1975,Three Mile Bay,103,83,2490,1975,23,yes
19750604,6/4/1975,Three Mile Bay,104,14,420,1975,23,yes
19750604,6/4/1975,Buoy 117,107,56,8288,1975,23,yes
19750604,6/4/1975,Buoy 125,107,97,14356,1975,23,yes
19750604,6/4/1975,Shackelton Point,107,28,4144,1975,23,yes
19750604,6/4/1975,Three Mile Bay,107,83,12284,1975,23,yes
19750604,6/4/1975,Buoy 117,109,3,3000,1975,23,yes
19750604,6/4/1975,Shackelton Point,116,7,4200,1975,23,yes
19750604,6/4/1975,Buoy 117,145,3,3000,1975,23,yes
19750604,6/4/1975,Buoy 125,145,3,3000,1975,23,yes
19750604,6/4/1975,Shackelton Point,145,7,7000,1975,23,yes
19750604,6/4/1975,Three Mile Bay,145,10,10000,1975,23,yes
19750604,6/4/1975,Buoy 125,148,56,8400,1975,23,yes
19750604,6/4/1975,Shackelton Point,148,56,8400,1975,23,yes
19750604,6/4/1975,Buoy 117,202,14,700,1975,23,yes
19750604,6/4/1975,Buoy 125,202,14,700,1975,23,yes
19750604,6/4/1975,Three Mile Bay,202,28,1400,1975,23,yes
19750604,6/4/1975,Three Mile Bay,210,14,2100,1975,23,yes
19750604,6/4/1975,Shackelton Point,304,28,4760,1975,23,yes
19750604,6/4/1975,Three Mile Bay,304,7,1190,1975,23,yes
19750604,6/4/1975,Buoy 117,318,21,33600,1975,23,yes
19750604,6/4/1975,Three Mile Bay,318,21,33600,1975,23,yes
19750604,6/4/1975,Three Mile Bay,331,4,8800,1975,23,yes
19750604,6/4/1975,Buoy 117,335,38,15200,1975,23,yes
19750604,6/4/1975,Buoy 125,335,10,4000,1975,23,yes
19750415,4/15/1975,Shackelton Point,145,7,7000,1975,16,yes
19750415,4/15/1975,Shackelton Point,207,35,28000,1975,16,yes
19750415,4/15/1975,Shackelton Point,301,268,187600,1975,16,yes
19750415,4/15/1975,Shackelton Point,304,4247,721990,1975,16,yes
19750415,4/15/1975,Shackelton Point,308,3,1560,1975,16,yes
19750415,4/15/1975,Shackelton Point,310,3,3000,1975,16,yes
19750415,4/15/1975,Shackelton Point,313,73,36500,1975,16,yes
19750415,4/15/1975,Shackelton Point,320,828,1656000,1975,16,yes
19750415,4/15/1975,Shackelton Point,331,3,6600,1975,16,yes
19750415,4/15/1975,Shackelton Point,601,486,97200,1975,16,yes
19750415,4/15/1975,Shackelton Point,602,17,42500,1975,16,yes
19750415,4/15/1975,Shackelton Point,704,139,15012,1975,16,yes
19750422,4/22/1975,Shackelton Point,145,21,21000,1975,17,yes
19750422,4/22/1975,Shackelton Point,201,28,1400,1975,17,yes
19750422,4/22/1975,Shackelton Point,202,111,5550,1975,17,yes
19750422,4/22/1975,Shackelton Point,207,70,56000,1975,17,yes
19750422,4/22/1975,Shackelton Point,210,28,4200,1975,17,yes
19750422,4/22/1975,Shackelton Point,212,83,166000,1975,17,yes
19750422,4/22/1975,Shackelton Point,301,833,583100,1975,17,yes
19750422,4/22/1975,Shackelton Point,304,12825,2180250,1975,17,yes
19750422,4/22/1975,Shackelton Point,308,21,10920,1975,17,yes
19750422,4/22/1975,Shackelton Point,312,77,38500,1975,17,yes
19750422,4/22/1975,Shackelton Point,313,745,372500,1975,17,yes
19750422,4/22/1975,Shackelton Point,318,7,11200,1975,17,yes
19750422,4/22/1975,Shackelton Point,320,2652,5304000,1975,17,yes
19750422,4/22/1975,Shackelton Point,328,7,35000,1975,17,yes
19750422,4/22/1975,Shackelton Point,331,42,92400,1975,17,yes
19750422,4/22/1975,Shackelton Point,335,7,2800,1975,17,yes
19750422,4/22/1975,Shackelton Point,601,444,88800,1975,17,yes
19750422,4/22/1975,Shackelton Point,602,28,70000,1975,17,yes
19750506,5/6/1975,Buoy 125,107,14,2072,1975,19,yes
19750506,5/6/1975,Buoy 125,202,125,6250,1975,19,yes
19750506,5/6/1975,Buoy 117,202,361,18050,1975,19,yes
19750506,5/6/1975,Buoy 125,207,7,5600,1975,19,yes
19750506,5/6/1975,Buoy 117,207,38,30400,1975,19,yes
19750506,5/6/1975,Buoy 125,210,83,12450,1975,19,yes
19750506,5/6/1975,Buoy 117,210,14,2100,1975,19,yes
19750506,5/6/1975,Buoy 125,212,14,28000,1975,19,yes
19750506,5/6/1975,Buoy 117,212,3,6000,1975,19,yes
19750506,5/6/1975,Buoy 125,301,14,9800,1975,19,yes
19750506,5/6/1975,Buoy 117,301,21,14700,1975,19,yes
19750506,5/6/1975,Buoy 125,304,42,7140,1975,19,yes
19750506,5/6/1975,Buoy 117,304,180,30600,1975,19,yes
19750506,5/6/1975,Buoy 117,309,3,3000,1975,19,yes
19750506,5/6/1975,Buoy 117,312,118,59000,1975,19,yes
19750506,5/6/1975,Buoy 125,313,84,42000,1975,19,yes
19750506,5/6/1975,Buoy 117,313,49,24500,1975,19,yes
19750506,5/6/1975,Buoy 125,320,1402,2804000,1975,19,yes
19750506,5/6/1975,Buoy 117,320,1935,3870000,1975,19,yes
19750506,5/6/1975,Buoy 125,331,3,6600,1975,19,yes
19750506,5/6/1975,Buoy 117,331,28,61600,1975,19,yes
19750506,5/6/1975,Buoy 125,335,10,4000,1975,19,yes
19750506,5/6/1975,Buoy 117,335,3,1200,1975,19,yes
19750506,5/6/1975,Buoy 125,601,638,127600,1975,19,yes
19750506,5/6/1975,Buoy 117,601,625,125000,1975,19,yes
19750506,5/6/1975,Buoy 125,602,24,60000,1975,19,yes
19750506,5/6/1975,Buoy 117,602,38,95000,1975,19,yes
19750508,5/8/1975,Shackelton Point,107,14,2072,1975,19,yes
19750508,5/8/1975,Three Mile Bay,149,28,30800,1975,19,yes
19750508,5/8/1975,Shackelton Point,202,56,2800,1975,19,yes
19750508,5/8/1975,Shackelton Point,207,14,11200,1975,19,yes
19750508,5/8/1975,Shackelton Point,210,69,10350,1975,19,yes
19750508,5/8/1975,Three Mile Bay,210,14,2100,1975,19,yes
19750508,5/8/1975,Shackelton Point,301,14,9800,1975,19,yes
19750508,5/8/1975,Shackelton Point,304,14,2380,1975,19,yes
19750508,5/8/1975,Three Mile Bay,304,28,4760,1975,19,yes
19750508,5/8/1975,Three Mile Bay,311,136,136000,1975,19,yes
19750508,5/8/1975,Shackelton Point,312,35,17500,1975,19,yes
19750508,5/8/1975,Shackelton Point,313,17,8500,1975,19,yes
19750508,5/8/1975,Shackelton Point,320,1677,3354000,1975,19,yes
19750508,5/8/1975,Three Mile Bay,320,1667,3334000,1975,19,yes
19750508,5/8/1975,Three Mile Bay,331,3.5,7700,1975,19,yes
19750508,5/8/1975,Shackelton Point,335,3,1200,1975,19,yes
19750508,5/8/1975,Three Mile Bay,335,14,5600,1975,19,yes
19750508,5/8/1975,Shackelton Point,336,3,2880,1975,19,yes
19750508,5/8/1975,Shackelton Point,601,583,116600,1975,19,yes
19750508,5/8/1975,Three Mile Bay,601,694,138800,1975,19,yes
19750508,5/8/1975,Shackelton Point,602,17,42500,1975,19,yes
19750508,5/8/1975,Three Mile Bay,602,10,25000,1975,19,yes
19750513,5/13/1975,Buoy 109,103,3,90,1975,20,yes
19750513,5/13/1975,Three Mile Bay,103,4,120,1975,20,yes
19750513,5/13/1975,Buoy 125,107,7,1036,1975,20,yes
19750513,5/13/1975,Three Mile Bay,107,28,4144,1975,20,yes
19750513,5/13/1975,Buoy 125,128,14,56000,1975,20,yes
19750513,5/13/1975,Shackelton Point,129,3,1041,1975,20,yes
19750513,5/13/1975,Three Mile Bay,145,4,4000,1975,20,yes
19750513,5/13/1975,Buoy 109,202,28,1400,1975,20,yes
19750513,5/13/1975,Buoy 117,202,42,2100,1975,20,yes
19750513,5/13/1975,Buoy 125,202,139,6950,1975,20,yes
19750513,5/13/1975,Shackelton Point,202,14,700,1975,20,yes
19750513,5/13/1975,Buoy 109,207,3,2400,1975,20,yes
19750513,5/13/1975,Buoy 117,207,3,2400,1975,20,yes
19750513,5/13/1975,Buoy 125,207,3,2400,1975,20,yes
19750513,5/13/1975,Buoy 109,210,56,8400,1975,20,yes
19750513,5/13/1975,Buoy 117,210,56,8400,1975,20,yes
19750513,5/13/1975,Buoy 125,210,28,4200,1975,20,yes
19750513,5/13/1975,Shackelton Point,210,69,10350,1975,20,yes
19750513,5/13/1975,Three Mile Bay,210,14,2100,1975,20,yes
19750513,5/13/1975,Buoy 109,212,7,14000,1975,20,yes
19750513,5/13/1975,Shackelton Point,212,3,6000,1975,20,yes
19750513,5/13/1975,Shackelton Point,304,28,4760,1975,20,yes
19750513,5/13/1975,Three Mile Bay,304,4,680,1975,20,yes
19750513,5/13/1975,Buoy 125,308,14,7280,1975,20,yes
19750513,5/13/1975,Buoy 117,312,125,62500,1975,20,yes
19750513,5/13/1975,Shackelton Point,312,10,5000,1975,20,yes
19750513,5/13/1975,Buoy 109,313,278,139000,1975,20,yes
19750513,5/13/1975,Buoy 125,313,84,42000,1975,20,yes
19750513,5/13/1975,Shackelton Point,313,97,48500,1975,20,yes
19750513,5/13/1975,Buoy 109,320,873,1746000,1975,20,yes
19750513,5/13/1975,Buoy 117,320,320,640000,1975,20,yes
19750513,5/13/1975,Buoy 125,320,372,744000,1975,20,yes
19750513,5/13/1975,Shackelton Point,320,498,996000,1975,20,yes
19750513,5/13/1975,Three Mile Bay,320,24,48000,1975,20,yes
19750513,5/13/1975,Buoy 109,331,14,30800,1975,20,yes
19750513,5/13/1975,Buoy 117,335,3,1200,1975,20,yes
