TaxonomicCode,ScientificName,Genus,Species,Division,BiovolumeUsed,TSN,BiovolumeUnit,Notes
101,Actinastrum hantzschii,Actinastrum,hantzschii,Chlorophyta,68,6099,cell,Identifed from 1975
102,Actinastrum hantzchii var. fluviatile,Actinastrum,hantzchii var. fluviatile,Chlorophyta,68,6100,cell,Identifed from 1975
103,Ankistrodesmus falcatus,Ankistrodesmus,falcatus,Chlorophyta,30,5878,cell,Identifed from 1975
104,Ankistrodesmus spiralis,Ankistrodesmus,spiralis,Chlorophyta,30,5889,cell,Identifed from 1975
105,Carteria cordiformis,Carteria,cordiformis,Chlorophyta,400,5442,cell,Identifed from 1975
106,Carteria globosa,Carteria,globosa,Chlorophyta,400,5434,cell,Identifed from 1975
107,Chlamydomonas spp.,Chlamydomonas,spp.,Chlorophyta,148,5448,cell,Identifed from 1975
108,Closteridium moniliforme,Closterium,moniliforme,Chlorophyta,4000,7357,cell,Identifed from 1975
109,Closteriopsis longissima,Closteriopsis,longissima,Chlorophyta,1000,5927,cell,Identifed from 1975
110,Coelastrum microporum,Coelastrum,microporum,Chlorophyta,3000,6279,cell,Identifed from 1975
111,Coelastrum reticulatum,Coelastrum,reticulatum,Chlorophyta,3000,6281,cell,Identifed from 1975
112,Cosmarium pyramidatum,Cosmarium,pyramidatum,Chlorophyta,20000,8060,cell,Identifed from 1975
113,Cosmarium reniforme,Cosmarium,reniforme,Chlorophyta,30000,8089,cell,Identifed from 1975
114,Crucigenia tetrapedia,Crucigenia,tetrapedia,Chlorophyta,148,6226,cell,Identifed from 1975
115,Dictyosphaerium puchellum,Dictyosphaerium,puchellum,Chlorophyta,148,6298,cell,Identifed from 1975
116,Elactothrix geletinosa,Elactothrix,geletinosa,Chlorophyta,600,9413,cell,Identifed from 1975
117,Eudorina elegans,Eudorina,elegans,Chlorophyta,3000,5598,cell,Identifed from 1975
118,Franceia ovalis,Franceia,ovalis,Chlorophyta,148,5960,cell,Identifed from 1975
119,Golenkinia paucispina,Golenkinia,paucispina,Chlorophyta,434,6318,cell,Identifed from 1975
120,Golenkinia radiata,Golenkinia,radiata,Chlorophyta,434,6315,cell,Identifed from 1975
121,Kirchneriella contorta,Kirchneriella,contorta,Chlorophyta,75,5905,cell,Identifed from 1975
122,Kirchneriella lunaris,Kirchneriella,lunaris,Chlorophyta,75,5896,cell,Identifed from 1975
123,Langenheimia quadriseta,Langenheimia,quadriseta,Chlorophyta,75,5867,cell,Identifed from 1975
124,Micractinium pusillum,Micractinium,pusillum,Chlorophyta,500,6322,cell,Identifed from 1975
125,Mougeotia sp.,Mougeotia,spp.,Chlorophyta,10000,7055,cell,Identifed from 1975
126,Oocystis elliptica,Oocystis,elliptica,Chlorophyta,700,5834,cell,Identifed from 1975
127,Oocystis lacustris,Oocystis,lacustris,Chlorophyta,700,5837,cell,Identifed from 1975
128,Pandorina morum,Pandorina,morum,Chlorophyta,4000,5580,colony,Identifed from 1975
129,Pediastrum boryanum,Pediastrum,boryanum,Chlorophyta,347,6032,cell,Identifed from 1975
130,Pediastrum duplex var. reticulatum,Pediastrum,duplex var. reticulatum,Chlorophyta,388,6038,cell,Identifed from 1975
131,Pediastrum obtusum,Pediastrum,obtusum,Chlorophyta,388,6065,cell,Identifed from 1975
132,Phacus accuminatus,Phacus,accuminatus,Chlorophyta,999,9767,cell,Identifed from 1975
133,Quadrigula closteroides,Quadrigula,closteroides,Chlorophyta,70,5939,cell,Identifed from 1975
134,Quadrigula lacustris,Quadrigula,lacustris,Chlorophyta,70,5941,cell,Identifed from 1975
135,Scenedesmus abundans,Scenedesmus,abundans,Chlorophyta,30,6133,cell,Identifed from 1975
136,Scenedesmus armatus var. bicaudatus,Scenedesmus,armatus var. bicaudatus,Chlorophyta,125,6126,cell,Identifed from 1975
137,Scenedesmus bijuga,Scenedesmus,bijuga,Chlorophyta,30,6127,cell,Identifed from 1975
138,Scenedesmus bijuga var. alterans,Scenedesmus,bijuga var. alterans,Chlorophyta,30,6128,cell,Identifed from 1975
139,Scenedesmus dimorphus,Scenedesmus,dimorphus,Chlorophyta,300,6143,cell,Identifed from 1975
140,Scenedesmus denticulatus,Scenedesmus,denticulatus,Chlorophyta,30,6145,cell,Identifed from 1975
141,Scenedesmusopoliensis,Scenedesmus,opoliensis,Chlorophyta,425,6194,cell,Identifed from 1975
142,Scenedesmus quadricuada var. quadrispina,Scenedesmus,quadricuada var. quadrispina,Chlorophyta,30,6117,cell,Identifed from 1975
143,Scenedesmus quadricuada var. longispina,Scenedesmus,quadricuada var. longispina,Chlorophyta,30,6114,cell,Identifed from 1975
144,Schroederia indica,Schroederia,indica,Chlorophyta,1387,5656,cell,Identifed from 1975
145,Schroederia setigerum,Schroederia,setigerum,Chlorophyta,1000,5657,cell,Identifed from 1975
146,Selenastrum gracile,Selenastrum,gracile,Chlorophyta,140,6254,cell,Identifed from 1975
147,Selenastrum westii,Selenastrum,westii,Chlorophyta,140,6258,cell,Identifed from 1975
148,Sphaerocystis schroeteri,Sphaerocystis,schroeteri,Chlorophyta,150,9170,cell,Identifed from 1975
149,Sylosphaeridium stipitatum,Sylosphaeridium,stipitatum,Chlorophyta,1100,9220,cell,Identifed from 1975
150,Staurastrum natatur var. crassum,Staurastrum,natatur var. crassum,Chlorophyta,20000,7670,cell,Identifed from 1975
151,Tetraedron minimum,Tetraedron,minimum,Chlorophyta,150,5670,cell,Identifed from 1975
152,Tetraedron trigonum,Tetraedron,trigonum,Chlorophyta,491,5662,cell,Identifed from 1975
153,Treubaria setigerum,Treubaria,setigerum,Chlorophyta,50,5921,cell,Identifed from 1975
154,Volvox aureus,Volvox,aureus,Chlorophyta,30000,5585,cell,Identifed from 1975
155,Tetraedron caudatum,Tetraedron,caudatum,Chlorophyta,150,5691,cell,Identifed from 1975
156,Centriactus belanophorus,Centriactus,belanophorus,Chlorophyta,2710,2031,cell,Identifed from 1975 also identified as Polytoma granulifera
157,Hematococcus lacustris,Hematococcus,lacustris,Chlorophyta,422,5607,cell,Identifed from 1975
158,Pediastrum tetras,Pediastrum,tetras,Chlorophyta,388,6053,cell,Identifed from 1991
159,Pediastrum simplex duodenarium,Pediastrum,simplex duodenarium,Chlorophyta,2000,6046,cell,Identifed from 1991
160,Ankyra judayi,Ankyra,judayi,Chlorophyta,24,5791,cell,Identifed from 1991
161,Westella botryoides,Westella,botryoides,Chlorophyta,115,5970,cell,Identifed from 1991
162,Gloeocystis gigas,Gloeocystis,gigas,Chlorophyta,520,6361,cell,Identifed from 1991
163,Gloeocystis major,Gloeocystis,major,Chlorophyta,729,6365,cell,Identifed from 1991
164,Spondylosium moniliforme,Spondylosium,moniliforme,Chlorophyta,210,8469,cell,Identifed from 1991
165,Tetraedron arthrodesmiforme,Tetraedron,arthrodesmiforme,Chlorophyta,280,5684,cell,Identifed from 1991
166,Chaetosphaeridium globosum,Chaetosphaeridium,globosum,Chlorophyta,512,9370,cell,Identifed from 1991
167,Closterium sp,Closterium,spp.,Chlorophyta,350,7257,cell,Identifed from 1991
168,Echinosphaerella limnetica,Echinosphaerella,limnetica,Chlorophyta,500,6337,cell,Identifed from 1991
169,Characium sp,Characium,spp.,Chlorophyta,243,5756,cell,Identifed from 1991
